TadpoleID,ClutchID,Treatment,D16_TotalLength,D16_TailLength,D16_BodyWidth,CORT_1,CORT_2,CORT_3,Data_Compete
AF1-1 Day16 TAD1,AF1,A,14.922,8.648,4.35,0.234,0.09,0.104,Yes
AF1-1 Day16 TAD2,AF1,A,14.775,8.603,4.708,0.13,0.218,0.292,Yes
AF1-1 Day16 TAD3,AF1,A,15.342,8.944,4.516,0.096,0.112,0.058,Yes
AF1-1 Day16 TAD4,AF1,A,19.922,11.937,6.09,0.392,0.104,0.658,Yes
AF1-1 Day16 TAD5,AF1,A,15.324,8.969,4.416,0.067,0.072,0.188,Yes
AF1-1 Day16 TAD6,AF1,A,17.259,9.81,5.315,0.072,0.05,0.096,Yes
AF1-2 Day16 TAD1,AF1,A,19.101,10.917,5.403,0.09,0.054,0.15,Yes
AF1-2 Day16 TAD2,AF1,A,20.523,12.098,5.954,0.054,0.043,0.067,Yes
AF1-2 Day16 TAD3,AF1,A,20.374,11.758,5.497,0.762,0.05,0.455,Yes
AF1-2 Day16 TAD4,AF1,A,17.709,9.925,5.27,0.14,0.083,0.339,Yes
AF1-2 Day16 TAD5,AF1,A,17.908,10.492,5.126,0.162,0.13,0.121,Yes
AF1-2 Day16 TAD6,AF1,A,17.8,10.004,4.971,0.162,0.067,0.292,Yes
AF2-1 Day16 TAD1,AF2,A,18.003,9.973,5.329,0.14,0.058,0.072,Yes
AF2-1 Day16 TAD2,AF2,A,16.698,9.487,5.095,0.13,0.078,0.121,Yes
AF2-1 Day16 TAD3,AF2,A,16.877,9.359,4.847,0.062,0.05,0.037,Yes
AF2-1 Day16 TAD4,AF2,A,16.854,9.442,5.177,0.067,0.04,0.078,Yes
AF2-1 Day16 TAD5,AF2,A,15.316,8.605,4.762,0.078,0.058,0.49,Yes
AF2-1 Day16 TAD6,AF2,A,17.046,9.542,5.126,0.062,0.034,0.062,Yes
AF2-2 Day16 TAD1,AF2,A,14.22,8.11,4.568,0.054,0.072,0.062,Yes
AF2-2 Day16 TAD2,AF2,A,17.39,9.802,5.392,0.058,0.054,0.043,Yes
AF2-2 Day16 TAD3,AF2,A,16.936,9.364,5.048,0.058,0.067,0.078,Yes
AF2-2 Day16 TAD4,AF2,A,18.171,9.989,5.41,0.104,0.058,0.112,Yes
AF2-2 Day16 TAD5,AF2,A,15.696,8.713,4.866,0.078,0.058,0.13,Yes
AF2-2 Day16 TAD6,AF2,A,16.921,9.368,4.977,0.054,0.062,0.062,Yes
AF3-1 Day16 TAD1,AF3,B,17.847,8.942,5.423,0.067,0.096,0.078,Yes
AF3-1 Day16 TAD2,AF3,B,19.232,10.634,5.704,0.072,0.067,0.096,Yes
AF3-1 Day16 TAD3,AF3,B,17.844,10.108,5.361,0.083,0.067,0.062,Yes
AF3-1 Day16 TAD4,AF3,B,20.119,11.328,5.891,0.096,0.078,0.174,Yes
AF3-1 Day16 TAD5,AF3,B,?,,,0.072,0.392,0.658,No
AF3-1 Day16 TAD6,AF3,B,?,,,0.09,0.09,0.09,No
AF3-2 Day16 TAD1,AF3,B,19.509,11.118,5.479,0.096,0.096,0.058,Yes
AF3-2 Day16 TAD2,AF3,B,20.918,11.739,6.503,0.083,0.04,0.392,Yes
AF3-2 Day16 TAD3,AF3,B,20.625,11.366,5.929,0.09,0.046,0.15,Yes
AF3-2 Day16 TAD4,AF3,B,21.237,11.131,7.491,0.062,0.046,0.054,Yes
AF3-2 Day16 TAD5,AF3,B,18.579,10.331,5.442,0.162,0.043,0.15,Yes
AF3-2 Day16 TAD6,AF3,B,17.962,9.936,5.33,0.072,0.078,0.112,Yes
AF4-1 Day16 TAD1,AF4,A,18.972,10.845,5.348,0.062,0.096,0.202,Yes
AF4-1 Day16 TAD2,AF4,A,18.753,10.712,5.403,0.364,0.09,0.364,Yes
AF4-1 Day16 TAD3,AF4,A,17.082,9.284,4.926,0.104,0.121,0.314,Yes
AF4-1 Day16 TAD4,AF4,A,21.029,12.08,5.862,0.09,0.14,0.567,Yes
AF4-1 Day16 TAD5,AF4,A,13.867,6.546,5.136,0.234,0.09,0.121,Yes
AF4-1 Day16 TAD6,AF4,A,14.407,7.756,4.342,0.062,0.078,0.072,Yes
AF4-2 Day16 TAD1,AF4,A,17.627,9.782,5.317,0.062,0.05,0.05,Yes
AF4-2 Day16 TAD2,AF4,A,19.076,10.523,5.324,0.339,0.15,0.112,Yes
AF4-2 Day16 TAD3,AF4,A,19.492,11.242,5.755,0.078,,0.072,No
AF4-2 Day16 TAD4,AF4,A,17.859,10.334,5.169,0.062,0.104,0.09,Yes
AF4-2 Day16 TAD5,AF4,A,19.854,11.085,5.848,,0.104,0.455,No
AF4-2 Day16 TAD6,AF4,A,13.653,6.808,4.673,1.375,0.13,0.14,Yes
AF5-1 Day16 TAD1,AF5,B,16.621,9.352,5.049,0.067,0.054,0.028,Yes
AF5-1 Day16 TAD2,AF5,B,17.32,9.583,4.943,0.188,0.058,0.271,Yes
AF5-1 Day16 TAD3,AF5,B,16.077,8.706,4.855,0.067,0.05,0.15,Yes
AF5-1 Day16 TAD4,AF5,B,14.206,7.703,4.053,0.043,0.013,0.046,Yes
AF5-1 Day16 TAD5,AF5,B,16.251,8.841,5.14,0.083,0.072,0.096,Yes
AF5-1 Day16 TAD6,AF5,B,17.203,9.352,5.217,0.067,0.058,0.072,Yes
AF5-2 Day16 TAD1,AF5,B,20.813,12.204,6.02,0.271,0.292,0.49,Yes
AF5-2 Day16 TAD2,AF5,B,24.321,14.625,7.225,0.15,0.078,0.13,Yes
AF5-2 Day16 TAD3,AF5,B,21.119,12.345,6.261,0.072,0.096,0.09,Yes
AF5-2 Day16 TAD4,AF5,B,21.509,12.311,6.53,0.15,0.422,0.314,Yes
AF5-2 Day16 TAD5,AF5,B,22.012,12.341,6.047,0.188,0.188,0.762,Yes
AF5-2 Day16 TAD6,AF5,B,23.86,13.614,6.417,0.218,0.09,0.234,Yes
AF7-1 Day16 TAD1,AF7,C,17.081,10.218,4.988,0.09,0.271,0.314,Yes
AF7-1 Day16 TAD2,AF7,C,16.511,9.488,4.527,0.162,0.104,0.708,Yes
AF7-1 Day16 TAD3,AF7,C,13.791,7.987,4.26,0.078,0.09,0.364,Yes
AF7-1 Day16 TAD4,AF7,C,15.451,8.927,4.789,0.058,0.083,0.202,Yes
AF7-1 Day16 TAD5,AF7,C,17.201,9.473,5.113,0.271,0.09,0.527,Yes
AF7-1 Day16 TAD6,AF7,C,17.07,9.669,4.717,0.078,0.096,0.09,Yes
AF7-2 Day16 TAD1,AF7,C,15.157,8.814,4.348,0.058,0.078,0.112,Yes
AF7-2 Day16 TAD2,AF7,C,18.134,10.469,5.114,0.096,0.083,0.422,Yes
AF7-2 Day16 TAD3,AF7,C,12.551,7.159,3.854,0.078,0.072,0.188,Yes
AF7-2 Day16 TAD4,AF7,C,13.434,7.846,3.874,0.083,0.072,0.14,Yes
AF7-2 Day16 TAD5,AF7,C,17.242,9.896,4.791,0.078,0.083,0.14,Yes
AF7-2 Day16 TAD6,AF7,C,15.486,8.878,4.448,0.104,0.09,0.49,Yes
AF8-1 Day16 TAD1,AF8,B,21.333,12.332,6.241,0.455,0.174,0.527,Yes
AF8-1 Day16 TAD2,AF8,B,20.182,11.586,5.673,0.422,,1.594,No
AF8-1 Day16 TAD3,AF8,B,20.15,11.683,5.377,0.611,0.121,0.82,Yes
AF8-1 Day16 TAD4,AF8,B,21.53,12.54,6.095,0.096,0.096,0.104,Yes
AF8-1 Day16 TAD5,AF8,B,21.229,12.264,5.967,0.314,0.14,0.455,Yes
AF8-1 Day16 TAD6,AF8,B,18.741,10.628,5.705,0.202,0.072,0.096,Yes
AF8-2 Day16 TAD1,AF8,B,22.252,12.962,6.014,0.339,0.121,1.716,Yes
AF8-2 Day16 TAD2,AF8,B,19.924,11.383,5.743,0.422,0.121,0.339,Yes
AF8-2 Day16 TAD3,AF8,B,21.228,12.135,5.895,0.234,0.13,0.083,Yes
AF8-2 Day16 TAD4,AF8,B,21.542,12.629,5.807,0.658,0.314,0.455,Yes
AF8-2 Day16 TAD5,AF8,B,19.047,10.845,5.688,0.121,0.15,0.364,Yes
AF8-2 Day16 TAD6,AF8,B,21.911,13.045,6.266,0.392,0.13,0.49,Yes
AF10-1 Day16 TAD1,AF10,B,18.282,10.208,5.553,0.339,0.658,0.82,Yes
AF10-1 Day16 TAD2,AF10,B,19.502,11.035,5.88,0.658,0.392,0.392,Yes
AF10-1 Day16 TAD3,AF10,B,21.268,11.906,6.634,1.186,0.15,0.82,Yes
AF10-1 Day16 TAD4,AF10,B,18.507,10.214,6.184,0.314,0.046,1.023,Yes
AF10-1 Day16 TAD5,AF10,B,19.594,10.895,5.791,1.48,0.062,1.375,Yes
AF10-1 Day16 TAD6,AF10,B,21.374,12.296,6.429,1.277,0.174,1.847,Yes
AF10-2 Day16 TAD1,AF10,B,20.847,11.943,6.505,0.455,0.202,0.527,Yes
AF10-2 Day16 TAD2,AF10,B,20.767,12.17,5.787,0.174,0.067,0.455,Yes
AF10-2 Day16 TAD3,AF10,B,19.122,11.033,5.577,0.067,0.292,0.188,Yes
AF10-2 Day16 TAD4,AF10,B,20.056,11.476,5.499,0.392,0.062,1.186,Yes
AF10-2 Day16 TAD5,AF10,B,20.904,12.452,5.953,0.314,0.112,0.708,Yes
AF10-2 Day16 TAD6,AF10,B,20.486,11.672,5.977,0.14,0.188,0.455,Yes
AF11-1 Day16 TAD1,AF11,A,15.962,9.211,4.979,1.375,0.455,0.108,Yes
AF11-1 Day16 TAD2,AF11,A,17.359,9.636,5.258,0.527,0.422,4.158,Yes
AF11-1 Day16 TAD3,AF11,A,15.937,8.812,4.842,2.304,0.951,4.158,Yes
AF11-1 Day16 TAD4,AF11,A,16.481,9.218,5.263,0.218,0.314,0.49,Yes
AF11-1 Day16 TAD5,AF11,A,17.887,9.745,5.479,0.527,0.392,0.951,Yes
AF11-1 Day16 TAD6,AF11,A,17.438,9.789,5.588,1.186,0.611,2.671,Yes
AF11-1 Day16 TAD7,AF11,A,16.204,9.033,4.951,0.162,0.292,0.708,Yes
AF11-1 Day16 TAD8,AF11,A,17.039,9.642,5.073,0.174,0.234,0.422,Yes
AF11-1 Day16 TAD9,AF11,A,15.645,8.439,5.244,0.292,0.104,0.951,Yes
AF11-1 Day16 TAD10,AF11,A,18.436,9.746,5.768,0.188,0.271,1.594,Yes
AF11-1 Day16 TAD11,AF11,A,18.317,10.065,5.735,0.14,0.234,0.49,Yes
AF11-1 Day16 TAD12,AF11,A,14.117,7.501,4.596,0.292,0.202,0.708,Yes
AF12-1 Day16 TAD1,AF12,A,20.138,11.728,5.941,0.271,0.174,1.594,Yes
AF12-1 Day16 TAD2,AF12,A,22.233,13.028,6.307,0.49,0.708,0.762,Yes
AF12-1 Day16 TAD3,AF12,A,20.656,12.391,5.778,0.339,0.392,0.292,Yes
AF12-1 Day16 TAD4,AF12,A,20.408,11.866,5.754,0.339,0.392,0.527,Yes
AF12-1 Day16 TAD5,AF12,A,21.666,12.46,6.297,0.49,0.567,0.455,Yes
AF12-1 Day16 TAD6,AF12,A,20.622,12.15,5.855,0.567,0.364,0.567,Yes
AF12-2 Day16 TAD1,AF12,A,18.71,10.696,5.418,0.567,0.339,0.658,Yes
AF12-2 Day16 TAD2,AF12,A,18.966,11.013,5.283,0.271,0.292,0.292,Yes
AF12-2 Day16 TAD3,AF12,A,18.017,10.343,5.062,0.49,0.455,0.455,Yes
AF12-2 Day16 TAD4,AF12,A,19.151,10.867,5.413,0.202,0.14,0.121,Yes
AF12-2 Day16 TAD5,AF12,A,17.365,9.994,4.81,0.339,0.234,0.708,Yes
AF12-2 Day16 TAD6,AF12,A,17.397,9.726,4.79,0.15,0.162,0.14,Yes